Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3941000E+3	-4.0011000E-1	-3.8929500E-6	1.0256110E+5	-3.9915546E+2
4.2406000E+3	-4.0011100E-1	-3.8932800E-6	1.0255264E+5	-3.9915539E+2
4.0816000E+3	-4.0010900E-1	-3.8929700E-6	1.0256031E+5	-3.9915546E+2
3.9203000E+3	-4.0011100E-1	-3.8931700E-6	1.0255555E+5	-3.9915542E+2
3.7570000E+3	-4.0011000E-1	-3.8930900E-6	1.0255740E+5	-3.9915543E+2
3.5923000E+3	-4.0011500E-1	-3.8934400E-6	1.0254945E+5	-3.9915537E+2
3.4242000E+3	-4.0011400E-1	-3.8934100E-6	1.0254998E+5	-3.9915537E+2
3.2567000E+3	-4.0011600E-1	-3.8932700E-6	1.0255419E+5	-3.9915541E+2
3.0869000E+3	-4.0011300E-1	-3.8925600E-6	1.0257217E+5	-3.9915555E+2
2.9155000E+3	-4.0011400E-1	-3.8922600E-6	1.0258035E+5	-3.9915562E+2
2.7436000E+3	-4.0011500E-1	-3.8916900E-6	1.0259566E+5	-3.9915575E+2
2.5685000E+3	-4.0011700E-1	-3.8904100E-6	1.0263000E+5	-3.9915603E+2
2.3956000E+3	-4.0011600E-1	-3.8895900E-6	1.0265143E+5	-3.9915620E+2
2.2179000E+3	-4.0011600E-1	-3.8883500E-6	1.0268423E+5	-3.9915647E+2
2.0407000E+3	-4.0011500E-1	-3.8855200E-6	1.0275892E+5	-3.9915708E+2
1.8638700E+3	-4.0011100E-1	-3.8806100E-6	1.0288818E+5	-3.9915814E+2
1.6835700E+3	-4.0011100E-1	-3.8725200E-6	1.0310358E+5	-3.9915990E+2
1.5050100E+3	-4.0011000E-1	-3.8570500E-6	1.0351772E+5	-3.9916325E+2
1.3220800E+3	-4.0010900E-1	-3.8273200E-6	1.0432325E+5	-3.9916970E+2
1.1418300E+3	-4.0011000E-1	-3.7858600E-6	1.0546837E+5	-3.9917869E+2
9.5929000E+2	-4.0011000E-1	-3.7404400E-6	1.0675170E+5	-3.9918855E+2
7.7444000E+2	-4.0011300E-1	-3.6846300E-6	1.0837274E+5	-3.9920066E+2
5.9284000E+2	-4.0011000E-1	-3.6255000E-6	1.1014295E+5	-3.9921348E+2
4.0911000E+2	-4.0010900E-1	-3.5557500E-6	1.1230750E+5	-3.9922861E+2
2.2361000E+2	-4.0011200E-1	-3.4701300E-6	1.1508473E+5	-3.9924719E+2
1.3163700E+2	-4.0011500E-1	-3.4206500E-6	1.1675346E+5	-3.9925793E+2
8.5766000E+1	-4.0011500E-1	-3.3931700E-6	1.1770076E+5	-3.9926389E+2
4.0662000E+1	-4.0011300E-1	-3.3655700E-6	1.1866717E+5	-3.9926988E+2
3.0376000E+1	-4.0011300E-1	-3.3591600E-6	1.1889403E+5	-3.9927127E+2
2.1059000E+1	-4.0011100E-1	-3.3534200E-6	1.1909731E+5	-3.9927251E+2
1.1681900E+1	-4.0011000E-1	-3.3484600E-6	1.1927375E+5	-3.9927358E+2
7.8348000E+0	-4.0010900E-1	-3.3461100E-6	1.1935737E+5	-3.9927409E+2
4.0708000E+0	-4.0011300E-1	-3.3434400E-6	1.1945406E+5	-3.9927468E+2
3.0064000E-1	-4.0011300E-1	-3.3422300E-6	1.1949738E+5	-3.9927494E+2
-3.4837000E+0	-4.0010900E-1	-3.3416700E-6	1.1951625E+5	-3.9927506E+2
-7.2476000E+0	-4.0010900E-1	-3.3398600E-6	1.1958114E+5	-3.9927545E+2
