Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
5.2792000E+3	1.9954300E-2	1.2733000E-7	1.5649626E+5	1.9972306E+1
5.2040000E+3	1.9952000E-2	1.2729300E-7	1.5652375E+5	1.9972311E+1
5.1265000E+3	1.9955100E-2	1.2729600E-7	1.5654441E+5	1.9972315E+1
4.9660000E+3	1.9954100E-2	1.2725200E-7	1.5659075E+5	1.9972323E+1
4.8053000E+3	1.9953300E-2	1.2723400E-7	1.5660665E+5	1.9972326E+1
4.6424000E+3	1.9952600E-2	1.2717800E-7	1.5667020E+5	1.9972337E+1
4.4758000E+3	1.9952100E-2	1.2717800E-7	1.5666627E+5	1.9972336E+1
4.3098000E+3	1.9953300E-2	1.2713800E-7	1.5672506E+5	1.9972346E+1
4.1432000E+3	1.9951600E-2	1.2710500E-7	1.5675243E+5	1.9972351E+1
3.9750000E+3	1.9954700E-2	1.2707400E-7	1.5681512E+5	1.9972362E+1
3.8056000E+3	1.9954600E-2	1.2704700E-7	1.5684771E+5	1.9972368E+1
3.6350000E+3	1.9953300E-2	1.2700500E-7	1.5688941E+5	1.9972375E+1
3.4627000E+3	1.9954300E-2	1.2697600E-7	1.5693317E+5	1.9972383E+1
3.2918000E+3	1.9955500E-2	1.2691400E-7	1.5701940E+5	1.9972398E+1
3.1183000E+3	1.9954500E-2	1.2686900E-7	1.5706729E+5	1.9972407E+1
2.9430000E+3	1.9953700E-2	1.2676200E-7	1.5719374E+5	1.9972429E+1
2.7684000E+3	1.9952900E-2	1.2669900E-7	1.5726570E+5	1.9972441E+1
2.5908000E+3	1.9952300E-2	1.2658200E-7	1.5740652E+5	1.9972466E+1
2.4159000E+3	1.9950400E-2	1.2644900E-7	1.5755728E+5	1.9972492E+1
2.2354000E+3	1.9950400E-2	1.2629200E-7	1.5775342E+5	1.9972527E+1
2.0580000E+3	1.9950700E-2	1.2606500E-7	1.5804025E+5	1.9972576E+1
1.8789600E+3	1.9950900E-2	1.2569100E-7	1.5851274E+5	1.9972658E+1
1.6974300E+3	1.9949800E-2	1.2505700E-7	1.5930866E+5	1.9972794E+1
1.5174400E+3	1.9952000E-2	1.2381800E-7	1.6092274E+5	1.9973067E+1
1.3337200E+3	1.9952300E-2	1.2177800E-7	1.6362458E+5	1.9973511E+1
1.1520800E+3	1.9950700E-2	1.1934900E-7	1.6694569E+5	1.9974037E+1
9.6867000E+2	1.9951400E-2	1.1670200E-7	1.7074322E+5	1.9974614E+1
7.8319000E+2	1.9950700E-2	1.1369500E-7	1.7525861E+5	1.9975267E+1
6.0015000E+2	1.9950700E-2	1.1046200E-7	1.8039443E+5	1.9975971E+1
4.1476000E+2	1.9950600E-2	1.0668700E-7	1.8678423E+5	1.9976792E+1
2.2760000E+2	1.9948900E-2	1.0214100E-7	1.9509047E+5	1.9977779E+1
1.3434500E+2	1.9949600E-2	9.9323700E-8	2.0063738E+5	1.9978392E+1
8.7485000E+1	1.9948900E-2	9.7781500E-8	2.0379807E+5	1.9978727E+1
4.1492000E+1	1.9951100E-2	9.6254500E-8	2.0705747E+5	1.9979062E+1
3.0717000E+1	1.9949500E-2	9.5891800E-8	2.0782477E+5	1.9979139E+1
2.1043000E+1	1.9951200E-2	9.5604300E-8	2.0846817E+5	1.9979203E+1
1.1517600E+1	1.9952300E-2	9.5302700E-8	2.0914013E+5	1.9979270E+1
7.4237000E+0	1.9949000E-2	9.5200700E-8	2.0932978E+5	1.9979289E+1
3.6018000E+0	1.9948900E-2	9.5087100E-8	2.0957907E+5	1.9979313E+1
-2.3260000E-1	1.9948200E-2	9.5007800E-8	2.0974681E+5	1.9979330E+1
-4.0633000E+0	1.9946500E-2	9.4950100E-8	2.0985650E+5	1.9979341E+1
-7.8539000E+0	1.9949100E-2	9.4888400E-8	2.1002050E+5	1.9979357E+1
