Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
8.8008000E+3	-4.0012000E-1	-1.3172400E-6	3.0368034E+5	-3.9989992E+2
8.6138000E+3	-4.0011900E-1	-1.3167900E-6	3.0378339E+5	-3.9989995E+2
8.4146000E+3	-4.0012000E-1	-1.3163900E-6	3.0387648E+5	-3.9989998E+2
8.2131000E+3	-4.0011700E-1	-1.3157300E-6	3.0402667E+5	-3.9990003E+2
8.0061000E+3	-4.0011900E-1	-1.3154800E-6	3.0408598E+5	-3.9990005E+2
7.7975000E+3	-4.0012000E-1	-1.3147900E-6	3.0424636E+5	-3.9990011E+2
7.5852000E+3	-4.0012000E-1	-1.3144400E-6	3.0432740E+5	-3.9990013E+2
7.3714000E+3	-4.0012300E-1	-1.3138200E-6	3.0447333E+5	-3.9990018E+2
7.1568000E+3	-4.0012200E-1	-1.3131000E-6	3.0463956E+5	-3.9990023E+2
6.9411000E+3	-4.0012100E-1	-1.3125500E-6	3.0476648E+5	-3.9990028E+2
6.7251000E+3	-4.0012100E-1	-1.3120700E-6	3.0487800E+5	-3.9990031E+2
6.5086000E+3	-4.0012300E-1	-1.3112600E-6	3.0506791E+5	-3.9990037E+2
6.2920000E+3	-4.0012100E-1	-1.3104400E-6	3.0525732E+5	-3.9990044E+2
6.0729000E+3	-4.0012200E-1	-1.3096500E-6	3.0544227E+5	-3.9990050E+2
5.8550000E+3	-4.0011900E-1	-1.3088500E-6	3.0562672E+5	-3.9990056E+2
5.6399000E+3	-4.0012000E-1	-1.3079300E-6	3.0584251E+5	-3.9990063E+2
5.4222000E+3	-4.0011900E-1	-1.3068600E-6	3.0609222E+5	-3.9990071E+2
5.2042000E+3	-4.0012000E-1	-1.3057900E-6	3.0634387E+5	-3.9990079E+2
4.9865000E+3	-4.0012100E-1	-1.3046600E-6	3.0661003E+5	-3.9990088E+2
4.7691000E+3	-4.0011700E-1	-1.3032000E-6	3.0695055E+5	-3.9990099E+2
4.5502000E+3	-4.0012100E-1	-1.3016800E-6	3.0731214E+5	-3.9990110E+2
4.3334000E+3	-4.0011800E-1	-1.3002900E-6	3.0763843E+5	-3.9990121E+2
4.1142000E+3	-4.0012100E-1	-1.2984200E-6	3.0808392E+5	-3.9990135E+2
3.8967000E+3	-4.0012000E-1	-1.2964400E-6	3.0855379E+5	-3.9990150E+2
3.6767000E+3	-4.0012100E-1	-1.2941700E-6	3.0909590E+5	-3.9990167E+2
3.4569000E+3	-4.0012200E-1	-1.2916600E-6	3.0969747E+5	-3.9990186E+2
3.2375000E+3	-4.0011900E-1	-1.2888200E-6	3.1037775E+5	-3.9990208E+2
3.0146000E+3	-4.0011900E-1	-1.2855400E-6	3.1116986E+5	-3.9990233E+2
2.7920000E+3	-4.0011900E-1	-1.2817100E-6	3.1209992E+5	-3.9990262E+2
2.5673000E+3	-4.0012000E-1	-1.2772200E-6	3.1319814E+5	-3.9990296E+2
2.3450000E+3	-4.0012100E-1	-1.2727400E-6	3.1430164E+5	-3.9990330E+2
2.1175000E+3	-4.0012000E-1	-1.2672500E-6	3.1566280E+5	-3.9990372E+2
1.8924100E+3	-4.0012100E-1	-1.2617100E-6	3.1704996E+5	-3.9990414E+2
1.6638100E+3	-4.0012300E-1	-1.2557900E-6	3.1854654E+5	-3.9990459E+2
1.4357300E+3	-4.0012000E-1	-1.2495300E-6	3.2014040E+5	-3.9990506E+2
1.2054800E+3	-4.0012200E-1	-1.2434500E-6	3.2170775E+5	-3.9990553E+2
9.7356000E+2	-4.0012000E-1	-1.2371800E-6	3.2333692E+5	-3.9990600E+2
7.4123000E+2	-4.0012100E-1	-1.2307600E-6	3.2502475E+5	-3.9990649E+2
5.0783000E+2	-4.0012000E-1	-1.2242800E-6	3.2674466E+5	-3.9990698E+2
2.7438000E+2	-4.0012000E-1	-1.2177600E-6	3.2849449E+5	-3.9990748E+2
1.3161400E+2	-4.0012300E-1	-1.2136900E-6	3.2959879E+5	-3.9990779E+2
8.2812000E+1	-4.0012200E-1	-1.2125300E-6	3.2991336E+5	-3.9990788E+2
3.6662000E+1	-4.0012000E-1	-1.2110700E-6	3.3030953E+5	-3.9990799E+2
1.6225900E+1	-4.0012200E-1	-1.2105400E-6	3.3045583E+5	-3.9990803E+2
6.0079000E+0	-4.0012200E-1	-1.2101100E-6	3.3057328E+5	-3.9990806E+2
1.7499600E+0	-4.0012000E-1	-1.2098900E-6	3.3063175E+5	-3.9990808E+2
-2.1521800E+0	-4.0012100E-1	-1.2099800E-6	3.3060798E+5	-3.9990807E+2
-6.0290000E+0	-4.0012300E-1	-1.2099300E-6	3.3062330E+5	-3.9990807E+2
-9.8011000E+0	-4.0012200E-1	-1.2098800E-6	3.3063614E+5	-3.9990808E+2
-1.3586200E+1	-4.0012200E-1	-1.2101600E-6	3.3055962E+5	-3.9990806E+2
