Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
8.8008000E+3	5.0002700E-1	2.1991900E-6	2.2729271E+5	4.9983287E+2
8.6138000E+3	5.0002800E-1	2.1988100E-6	2.2733246E+5	4.9983290E+2
8.4148000E+3	5.0002500E-1	2.1986500E-6	2.2734765E+5	4.9983291E+2
8.2133000E+3	5.0002800E-1	2.1982800E-6	2.2738729E+5	4.9983294E+2
8.0062000E+3	5.0002500E-1	2.1973200E-6	2.2748530E+5	4.9983301E+2
7.7977000E+3	5.0002800E-1	2.1970200E-6	2.2751774E+5	4.9983304E+2
7.5857000E+3	5.0002900E-1	2.1965200E-6	2.2757000E+5	4.9983307E+2
7.3718000E+3	5.0002400E-1	2.1958400E-6	2.2763822E+5	4.9983312E+2
7.1573000E+3	5.0002600E-1	2.1954000E-6	2.2768477E+5	4.9983316E+2
6.9408000E+3	5.0002600E-1	2.1945600E-6	2.2777195E+5	4.9983322E+2
6.7250000E+3	5.0002500E-1	2.1944200E-6	2.2778603E+5	4.9983323E+2
6.5084000E+3	5.0002200E-1	2.1934400E-6	2.2788647E+5	4.9983331E+2
6.2920000E+3	5.0002200E-1	2.1927100E-6	2.2796236E+5	4.9983336E+2
6.0729000E+3	5.0002100E-1	2.1919600E-6	2.2803993E+5	4.9983342E+2
5.8556000E+3	5.0002500E-1	2.1909700E-6	2.2814483E+5	4.9983349E+2
5.6402000E+3	5.0002300E-1	2.1899500E-6	2.2825022E+5	4.9983357E+2
5.4220000E+3	5.0002300E-1	2.1887700E-6	2.2837331E+5	4.9983366E+2
5.2045000E+3	5.0002300E-1	2.1877800E-6	2.2847669E+5	4.9983374E+2
4.9865000E+3	5.0002400E-1	2.1863900E-6	2.2862245E+5	4.9983384E+2
4.7695000E+3	5.0002400E-1	2.1846400E-6	2.2880565E+5	4.9983398E+2
4.5506000E+3	5.0002100E-1	2.1829500E-6	2.2898147E+5	4.9983410E+2
4.3335000E+3	5.0002100E-1	2.1807300E-6	2.2921465E+5	4.9983427E+2
4.1139000E+3	5.0001900E-1	2.1786400E-6	2.2943369E+5	4.9983443E+2
3.8969000E+3	5.0002200E-1	2.1765600E-6	2.2965440E+5	4.9983459E+2
3.6769000E+3	5.0002100E-1	2.1737500E-6	2.2995091E+5	4.9983480E+2
3.4570000E+3	5.0002200E-1	2.1705000E-6	2.3029580E+5	4.9983505E+2
3.2373000E+3	5.0002300E-1	2.1673800E-6	2.3062789E+5	4.9983529E+2
3.0149000E+3	5.0002300E-1	2.1631600E-6	2.3107796E+5	4.9983561E+2
2.7922000E+3	5.0002400E-1	2.1586100E-6	2.3156566E+5	4.9983595E+2
2.5673000E+3	5.0002200E-1	2.1530400E-6	2.3216400E+5	4.9983638E+2
2.3452000E+3	5.0002300E-1	2.1476800E-6	2.3274407E+5	4.9983678E+2
2.1180000E+3	5.0002400E-1	2.1418500E-6	2.3337826E+5	4.9983723E+2
1.8922800E+3	5.0002600E-1	2.1356800E-6	2.3405364E+5	4.9983770E+2
1.6641000E+3	5.0002300E-1	2.1287700E-6	2.3481222E+5	4.9983822E+2
1.4358500E+3	5.0002200E-1	2.1219100E-6	2.3557113E+5	4.9983874E+2
1.2052600E+3	5.0002300E-1	2.1147600E-6	2.3636832E+5	4.9983929E+2
9.7351000E+2	5.0002400E-1	2.1072600E-6	2.3721033E+5	4.9983986E+2
7.4154000E+2	5.0002700E-1	2.1000800E-6	2.3802302E+5	4.9984040E+2
5.0807000E+2	5.0003100E-1	2.0922200E-6	2.3891942E+5	4.9984100E+2
2.7424000E+2	5.0002800E-1	2.0843300E-6	2.3982267E+5	4.9984160E+2
1.3190900E+2	5.0002800E-1	2.0795800E-6	2.4037063E+5	4.9984196E+2
8.2943000E+1	5.0002600E-1	2.0778900E-6	2.4056523E+5	4.9984209E+2
3.6700000E+1	5.0002700E-1	2.0768400E-6	2.4068737E+5	4.9984217E+2
1.6281200E+1	5.0003000E-1	2.0758500E-6	2.4080364E+5	4.9984224E+2
6.0769000E+0	5.0003100E-1	2.0758100E-6	2.4080876E+5	4.9984225E+2
1.9766000E+0	5.0003000E-1	2.0757100E-6	2.4081989E+5	4.9984226E+2
-2.0728100E+0	5.0003100E-1	2.0754700E-6	2.4084822E+5	4.9984227E+2
-5.8734000E+0	5.0002900E-1	2.0753600E-6	2.4086003E+5	4.9984228E+2
-9.6991000E+0	5.0002900E-1	2.0753700E-6	2.4085887E+5	4.9984228E+2
-1.3508100E+1	5.0003000E-1	2.0759100E-6	2.4079668E+5	4.9984224E+2
