Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)
1.9930600E+3	-1.0000400E+0	-1.5939200E-3	6.2740915E+2
1.9053600E+3	-1.0000400E+0	-1.5934200E-3	6.2760603E+2
1.8142100E+3	-1.0000400E+0	-1.5930700E-3	6.2774392E+2
1.7232500E+3	-1.0000400E+0	-1.5926700E-3	6.2790157E+2
1.6292800E+3	-1.0000400E+0	-1.5920200E-3	6.2815794E+2
1.5343000E+3	-1.0000400E+0	-1.5913500E-3	6.2842241E+2
1.4367700E+3	-1.0000300E+0	-1.5906600E-3	6.2868872E+2
1.3405900E+3	-1.0000300E+0	-1.5898200E-3	6.2902090E+2
1.2439900E+3	-1.0000400E+0	-1.5887400E-3	6.2945479E+2
1.1450700E+3	-1.0000400E+0	-1.5873900E-3	6.2999011E+2
1.0477900E+3	-1.0000400E+0	-1.5856100E-3	6.3069733E+2
9.4773000E+2	-1.0000500E+0	-1.5833000E-3	6.3162382E+2
8.4775000E+2	-1.0000400E+0	-1.5799700E-3	6.3294873E+2
7.4948000E+2	-1.0000400E+0	-1.5747100E-3	6.3506296E+2
6.4895000E+2	-1.0000400E+0	-1.5659100E-3	6.3863185E+2
5.4839000E+2	-1.0000400E+0	-1.5526100E-3	6.4410251E+2
4.9793000E+2	-1.0000400E+0	-1.5443100E-3	6.4756428E+2
4.4781000E+2	-1.0000400E+0	-1.5348600E-3	6.5155128E+2
3.9736000E+2	-1.0000400E+0	-1.5242200E-3	6.5609951E+2
3.4690000E+2	-1.0000400E+0	-1.5118800E-3	6.6145461E+2
2.9661000E+2	-1.0000400E+0	-1.4977300E-3	6.6770379E+2
2.4409000E+2	-1.0000500E+0	-1.4799400E-3	6.7573685E+2
1.9378700E+2	-1.0000400E+0	-1.4597100E-3	6.8509498E+2
1.4343000E+2	-1.0000400E+0	-1.4360000E-3	6.9640669E+2
9.3376000E+1	-1.0000400E+0	-1.4083000E-3	7.1010438E+2
8.2420000E+1	-1.0000400E+0	-1.4022500E-3	7.1316812E+2
7.2252000E+1	-1.0000400E+0	-1.3962400E-3	7.1623790E+2
6.1929000E+1	-1.0000400E+0	-1.3902100E-3	7.1934456E+2
5.3698000E+1	-1.0000400E+0	-1.3855100E-3	7.2178476E+2
4.3456000E+1	-1.0000400E+0	-1.3792800E-3	7.2504495E+2
3.3152000E+1	-1.0000400E+0	-1.3740900E-3	7.2778348E+2
3.0941000E+1	-1.0000400E+0	-1.3729000E-3	7.2841431E+2
2.8816000E+1	-1.0000400E+0	-1.3717200E-3	7.2904091E+2
2.6814000E+1	-1.0000400E+0	-1.3709200E-3	7.2946634E+2
2.4757000E+1	-1.0000400E+0	-1.3698900E-3	7.3001482E+2
2.2714000E+1	-1.0000400E+0	-1.3686600E-3	7.3067088E+2
2.0641000E+1	-1.0000400E+0	-1.3675300E-3	7.3127463E+2
1.8580800E+1	-1.0000300E+0	-1.3669700E-3	7.3156690E+2
1.6484000E+1	-1.0000400E+0	-1.3661800E-3	7.3199725E+2
1.4458100E+1	-1.0000400E+0	-1.3654900E-3	7.3236714E+2
1.2381200E+1	-1.0000400E+0	-1.3645000E-3	7.3289850E+2
1.0352000E+1	-1.0000400E+0	-1.3638000E-3	7.3327467E+2
8.2757000E+0	-1.0000400E+0	-1.3630900E-3	7.3365662E+2
6.2566000E+0	-1.0000400E+0	-1.3621800E-3	7.3414674E+2
4.1514000E+0	-1.0000400E+0	-1.3613300E-3	7.3460513E+2
2.0872000E+0	-1.0000400E+0	-1.3605200E-3	7.3504248E+2
2.4410000E-2	-1.0000500E+0	-1.3594200E-3	7.3564461E+2
-2.0434200E+0	-1.0000400E+0	-1.3589700E-3	7.3588085E+2
-4.1689000E+0	-1.0000400E+0	-1.3578700E-3	7.3647698E+2
-6.2406000E+0	-1.0000400E+0	-1.3559600E-3	7.3751438E+2
-8.3011000E+0	-1.0000400E+0	-1.3537300E-3	7.3872929E+2
