Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)
1.9935600E+3	5.0004400E-1	5.4392400E-4	9.1932696E+2
1.9059100E+3	5.0004400E-1	5.4378400E-4	9.1956365E+2
1.8147700E+3	5.0004300E-1	5.4363300E-4	9.1981723E+2
1.7238200E+3	5.0004600E-1	5.4348800E-4	9.2006815E+2
1.6297000E+3	5.0004200E-1	5.4331500E-4	9.2035375E+2
1.5349000E+3	5.0004400E-1	5.4313800E-4	9.2065737E+2
1.4372100E+3	5.0004700E-1	5.4284000E-4	9.2116830E+2
1.3410800E+3	5.0004700E-1	5.4256500E-4	9.2163520E+2
1.2444500E+3	5.0004700E-1	5.4225100E-4	9.2216888E+2
1.1454300E+3	5.0004500E-1	5.4189300E-4	9.2277442E+2
1.0481000E+3	5.0004500E-1	5.4148100E-4	9.2347654E+2
9.4820000E+2	5.0004400E-1	5.4101100E-4	9.2427696E+2
8.4816000E+2	5.0004700E-1	5.4037400E-4	9.2537206E+2
7.4972000E+2	5.0004400E-1	5.3958800E-4	9.2671446E+2
6.4919000E+2	5.0004800E-1	5.3852200E-4	9.2855631E+2
5.4869000E+2	5.0004600E-1	5.3688500E-4	9.3138382E+2
4.9821000E+2	5.0004700E-1	5.3571100E-4	9.3342679E+2
4.4796000E+2	5.0004900E-1	5.3411000E-4	9.3622849E+2
3.9758000E+2	5.0004800E-1	5.3179500E-4	9.4030218E+2
3.4723000E+2	5.0004500E-1	5.2834800E-4	9.4643114E+2
2.9689000E+2	5.0004500E-1	5.2327900E-4	9.5559921E+2
2.4427000E+2	5.0004500E-1	5.1547400E-4	9.7006833E+2
1.9399900E+2	5.0004900E-1	5.0516900E-4	9.8986478E+2
1.4360800E+2	5.0005000E-1	4.9100200E-4	1.0184276E+3
9.3551000E+1	5.0004900E-1	4.7198800E-4	1.0594528E+3
8.2570000E+1	5.0005000E-1	4.6730400E-4	1.0700743E+3
7.2432000E+1	5.0004600E-1	4.6262300E-4	1.0808931E+3
6.2088000E+1	5.0004900E-1	4.5769200E-4	1.0925448E+3
5.3829000E+1	5.0004900E-1	4.5380700E-4	1.1018979E+3
4.3550000E+1	5.0004600E-1	4.4886200E-4	1.1140306E+3
3.3217000E+1	5.0004600E-1	4.4343200E-4	1.1276723E+3
3.1033000E+1	5.0004600E-1	4.4228900E-4	1.1305866E+3
2.8965000E+1	5.0004500E-1	4.4134800E-4	1.1329948E+3
2.6918000E+1	5.0004800E-1	4.4052300E-4	1.1351235E+3
2.4871000E+1	5.0004400E-1	4.3972700E-4	1.1371692E+3
2.2865000E+1	5.0004400E-1	4.3893100E-4	1.1392315E+3
2.0762000E+1	5.0004600E-1	4.3811600E-4	1.1413553E+3
1.8701400E+1	5.0004600E-1	4.3726700E-4	1.1435713E+3
1.6631800E+1	5.0004800E-1	4.3652100E-4	1.1455302E+3
1.4591100E+1	5.0004600E-1	4.3567000E-4	1.1477632E+3
1.2486900E+1	5.0004500E-1	4.3496100E-4	1.1496318E+3
1.0442700E+1	5.0004500E-1	4.3432900E-4	1.1513047E+3
8.3680000E+0	5.0004500E-1	4.3352000E-4	1.1534531E+3
6.3387000E+0	5.0004600E-1	4.3281900E-4	1.1553236E+3
4.2310000E+0	5.0004500E-1	4.3202000E-4	1.1574580E+3
2.1662000E+0	5.0004400E-1	4.3126100E-4	1.1594927E+3
8.5910000E-2	5.0004700E-1	4.3031900E-4	1.1620379E+3
-1.9606600E+0	5.0004700E-1	4.2947600E-4	1.1643188E+3
-4.0685000E+0	5.0004600E-1	4.2828300E-4	1.1675598E+3
-6.1297000E+0	5.0004700E-1	4.2712900E-4	1.1707166E+3
-8.2364000E+0	5.0004500E-1	4.2553300E-4	1.1751028E+3
