Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
7.0208000E+3	1.1999500E+0	7.6309700E-5	1.2592737E+4	9.6098806E+2
6.8294000E+3	1.1999500E+0	7.6316100E-5	1.2591419E+4	9.6096802E+2
6.6310000E+3	1.1999500E+0	7.6291700E-5	1.2596448E+4	9.6104444E+2
6.4283000E+3	1.1999500E+0	7.6284500E-5	1.2597932E+4	9.6106699E+2
6.2227000E+3	1.1999600E+0	7.6264700E-5	1.2602147E+4	9.6113100E+2
6.0132000E+3	1.1999400E+0	7.6247800E-5	1.2605372E+4	9.6117995E+2
5.8037000E+3	1.1999600E+0	7.6238600E-5	1.2607534E+4	9.6121275E+2
5.5952000E+3	1.1999700E+0	7.6215100E-5	1.2612518E+4	9.6128834E+2
5.3827000E+3	1.1999500E+0	7.6185000E-5	1.2618476E+4	9.6137864E+2
5.1699000E+3	1.1999600E+0	7.6159800E-5	1.2623819E+4	9.6145956E+2
4.9563000E+3	1.1999400E+0	7.6107500E-5	1.2634383E+4	9.6161939E+2
4.7424000E+3	1.1999500E+0	7.6061800E-5	1.2643987E+4	9.6176452E+2
4.5266000E+3	1.1999500E+0	7.6010800E-5	1.2654572E+4	9.6192425E+2
4.3122000E+3	1.1999400E+0	7.5970800E-5	1.2662753E+4	9.6204756E+2
4.0955000E+3	1.1999400E+0	7.5894200E-5	1.2678694E+4	9.6228748E+2
3.8807000E+3	1.1999400E+0	7.5806500E-5	1.2696986E+4	9.6256217E+2
3.6623000E+3	1.1999300E+0	7.5694100E-5	1.2720358E+4	9.6291225E+2
3.4436000E+3	1.1999400E+0	7.5584400E-5	1.2743498E+4	9.6325782E+2
3.2255000E+3	1.1999600E+0	7.5411100E-5	1.2780246E+4	9.6380456E+2
3.0046000E+3	1.1999400E+0	7.5185600E-5	1.2827705E+4	9.6450693E+2
2.7822000E+3	1.1999500E+0	7.4911000E-5	1.2886342E+4	9.6536897E+2
2.5594000E+3	1.1999300E+0	7.4569800E-5	1.2959367E+4	9.6643376E+2
2.3378000E+3	1.1999300E+0	7.4252700E-5	1.3028086E+4	9.6742698E+2
2.1110000E+3	1.1999400E+0	7.3889800E-5	1.3107589E+4	9.6856557E+2
1.8864800E+3	1.1999400E+0	7.3580500E-5	1.3175853E+4	9.6953435E+2
1.6589200E+3	1.1999600E+0	7.3260800E-5	1.3247292E+4	9.7053953E+2
1.4313600E+3	1.1999600E+0	7.2942000E-5	1.3318879E+4	9.7153804E+2
1.2018900E+3	1.1999700E+0	7.2627700E-5	1.3390208E+4	9.7252436E+2
9.7030000E+2	1.1999600E+0	7.2292300E-5	1.3466725E+4	9.7357297E+2
7.8376000E+2	1.1999500E+0	7.1979000E-5	1.3538835E+4	9.7455238E+2
5.9989000E+2	1.1999600E+0	7.1696400E-5	1.3604684E+4	9.7543939E+2
4.1379000E+2	1.1999500E+0	7.1470900E-5	1.3657351E+4	9.7614381E+2
2.2620000E+2	1.1999600E+0	7.1234000E-5	1.3713327E+4	9.7688767E+2
1.7600000E+2	1.1999600E+0	7.1172900E-5	1.3727788E+4	9.7707905E+2
1.2938600E+2	1.1999500E+0	7.1136300E-5	1.3736322E+4	9.7719182E+2
8.3529000E+1	1.1999600E+0	7.1083700E-5	1.3748945E+4	9.7735843E+2
3.7877000E+1	1.1999600E+0	7.0981900E-5	1.3773155E+4	9.7767728E+2
2.6684000E+1	1.1999400E+0	7.0982500E-5	1.3772730E+4	9.7767169E+2
1.6979000E+1	1.1999500E+0	7.0865200E-5	1.3800853E+4	9.7804095E+2
7.4159000E+0	1.1999600E+0	7.0843800E-5	1.3806109E+4	9.7810982E+2
3.3476000E+0	1.1999500E+0	7.0850900E-5	1.3804270E+4	9.7808573E+2
-4.4189000E-1	1.1999500E+0	7.0868800E-5	1.3799993E+4	9.7802967E+2
-4.2871000E+0	1.1999400E+0	7.0871100E-5	1.3799302E+4	9.7802062E+2
-8.0861000E+0	1.1999500E+0	7.0867300E-5	1.3800351E+4	9.7803437E+2
-1.1845100E+1	1.1999500E+0	7.0891900E-5	1.3794475E+4	9.7795732E+2
-1.3799300E+1	1.1999500E+0	7.0898300E-5	1.3792947E+4	9.7793727E+2
-1.7524500E+1	1.1999500E+0	7.0913400E-5	1.3789343E+4	9.7788998E+2
-2.1271600E+1	1.1999500E+0	7.0900000E-5	1.3792542E+4	9.7793195E+2
-2.5056000E+1	1.1999600E+0	7.0986800E-5	1.3771988E+4	9.7766193E+2
-2.8804000E+1	1.1999300E+0	7.0977800E-5	1.3773709E+4	9.7768456E+2
