Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
7.0192000E+3	-1.5006200E-1	-1.9643400E-7	7.6314889E+5	-1.4984645E+2
6.8277000E+3	-1.5006100E-1	-1.9638400E-7	7.6333829E+5	-1.4984649E+2
6.6295000E+3	-1.5006000E-1	-1.9627700E-7	7.6374976E+5	-1.4984657E+2
6.4271000E+3	-1.5006300E-1	-1.9612100E-7	7.6437318E+5	-1.4984670E+2
6.2210000E+3	-1.5006100E-1	-1.9608100E-7	7.6451907E+5	-1.4984673E+2
6.0120000E+3	-1.5006200E-1	-1.9596600E-7	7.6497328E+5	-1.4984682E+2
5.8025000E+3	-1.5006300E-1	-1.9578100E-7	7.6570198E+5	-1.4984696E+2
5.5940000E+3	-1.5006100E-1	-1.9569100E-7	7.6604427E+5	-1.4984703E+2
5.3815000E+3	-1.5006500E-1	-1.9555400E-7	7.6660195E+5	-1.4984714E+2
5.1690000E+3	-1.5006600E-1	-1.9533300E-7	7.6747528E+5	-1.4984732E+2
4.9550000E+3	-1.5006600E-1	-1.9506300E-7	7.6853868E+5	-1.4984753E+2
4.7412000E+3	-1.5006400E-1	-1.9474000E-7	7.6980442E+5	-1.4984778E+2
4.5260000E+3	-1.5006100E-1	-1.9440900E-7	7.7110099E+5	-1.4984803E+2
4.3113000E+3	-1.5006100E-1	-1.9390400E-7	7.7311127E+5	-1.4984843E+2
4.0946000E+3	-1.5006100E-1	-1.9332500E-7	7.7542904E+5	-1.4984888E+2
3.8801000E+3	-1.5006100E-1	-1.9254600E-7	7.7856943E+5	-1.4984949E+2
3.6615000E+3	-1.5006200E-1	-1.9156600E-7	7.8256160E+5	-1.4985026E+2
3.4427000E+3	-1.5006100E-1	-1.9049700E-7	7.8695219E+5	-1.4985109E+2
3.2248000E+3	-1.5006200E-1	-1.8899200E-7	7.9323044E+5	-1.4985227E+2
3.0038000E+3	-1.5006300E-1	-1.8746100E-7	7.9972050E+5	-1.4985347E+2
2.7818000E+3	-1.5006100E-1	-1.8597000E-7	8.0612772E+5	-1.4985463E+2
2.5587000E+3	-1.5006100E-1	-1.8425300E-7	8.1364707E+5	-1.4985597E+2
2.3373000E+3	-1.5006100E-1	-1.8249000E-7	8.2151511E+5	-1.4985735E+2
2.1102000E+3	-1.5005900E-1	-1.8072500E-7	8.2953478E+5	-1.4985873E+2
1.8859500E+3	-1.5006000E-1	-1.7867300E-7	8.3907629E+5	-1.4986033E+2
1.6581800E+3	-1.5006300E-1	-1.7681300E-7	8.4792822E+5	-1.4986179E+2
1.4303300E+3	-1.5006200E-1	-1.7509600E-7	8.5624500E+5	-1.4986313E+2
1.2008400E+3	-1.5006400E-1	-1.7326500E-7	8.6531329E+5	-1.4986456E+2
9.7032000E+2	-1.5006200E-1	-1.7160500E-7	8.7367970E+5	-1.4986586E+2
7.8333000E+2	-1.5006200E-1	-1.7015000E-7	8.8115747E+5	-1.4986700E+2
5.9899000E+2	-1.5006300E-1	-1.6882600E-7	8.8807991E+5	-1.4986803E+2
4.1356000E+2	-1.5006200E-1	-1.6745600E-7	8.9534594E+5	-1.4986910E+2
2.2577000E+2	-1.5006300E-1	-1.6600300E-7	9.0319564E+5	-1.4987024E+2
1.7575100E+2	-1.5006300E-1	-1.6566700E-7	9.0502905E+5	-1.4987050E+2
1.2904600E+2	-1.5006200E-1	-1.6529200E-7	9.0707803E+5	-1.4987080E+2
8.3296000E+1	-1.5006300E-1	-1.6497100E-7	9.0885060E+5	-1.4987105E+2
3.7592000E+1	-1.5006400E-1	-1.6469400E-7	9.1038659E+5	-1.4987126E+2
2.6464000E+1	-1.5006500E-1	-1.6457700E-7	9.1104043E+5	-1.4987136E+2
1.6767400E+1	-1.5006600E-1	-1.6460000E-7	9.1091909E+5	-1.4987134E+2
7.2484000E+0	-1.5006300E-1	-1.6462500E-7	9.1076242E+5	-1.4987132E+2
3.1683000E+0	-1.5006300E-1	-1.6459600E-7	9.1092302E+5	-1.4987134E+2
-6.1509000E-1	-1.5006100E-1	-1.6460900E-7	9.1083887E+5	-1.4987133E+2
-4.4080000E+0	-1.5006200E-1	-1.6464800E-7	9.1062901E+5	-1.4987130E+2
-8.1702000E+0	-1.5006000E-1	-1.6448300E-7	9.1153113E+5	-1.4987143E+2
-1.1951800E+1	-1.5006300E-1	-1.6463300E-7	9.1071812E+5	-1.4987131E+2
