Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
7.0191000E+3	3.0000200E-1	4.9146400E-7	6.0964318E+5	2.9961568E+2
6.8276000E+3	3.0000200E-1	4.9131000E-7	6.0983452E+5	2.9961580E+2
6.6295000E+3	2.9999900E-1	4.9114300E-7	6.1003603E+5	2.9961592E+2
6.4269000E+3	2.9999900E-1	4.9087700E-7	6.1036703E+5	2.9961613E+2
6.2213000E+3	2.9999700E-1	4.9069500E-7	6.1058963E+5	2.9961627E+2
6.0120000E+3	2.9999800E-1	4.9044100E-7	6.1090830E+5	2.9961647E+2
5.8022000E+3	3.0000000E-1	4.9008300E-7	6.1135921E+5	2.9961676E+2
5.5937000E+3	2.9999600E-1	4.8975900E-7	6.1175600E+5	2.9961700E+2
5.3816000E+3	2.9999300E-1	4.8943400E-7	6.1215662E+5	2.9961725E+2
5.1687000E+3	2.9999300E-1	4.8885100E-7	6.1288760E+5	2.9961771E+2
4.9552000E+3	2.9999400E-1	4.8814500E-7	6.1377720E+5	2.9961826E+2
4.7412000E+3	2.9999400E-1	4.8771000E-7	6.1432534E+5	2.9961860E+2
4.5257000E+3	2.9999500E-1	4.8675500E-7	6.1553422E+5	2.9961935E+2
4.3115000E+3	2.9999500E-1	4.8574900E-7	6.1681062E+5	2.9962014E+2
4.0947000E+3	2.9999400E-1	4.8435900E-7	6.1858091E+5	2.9962122E+2
3.8797000E+3	2.9999400E-1	4.8257400E-7	6.2087188E+5	2.9962262E+2
3.6618000E+3	2.9999300E-1	4.8027900E-7	6.2384035E+5	2.9962441E+2
3.4428000E+3	2.9999300E-1	4.7759300E-7	6.2735325E+5	2.9962651E+2
3.2244000E+3	2.9999500E-1	4.7466500E-7	6.3123216E+5	2.9962881E+2
3.0040000E+3	2.9999500E-1	4.7144100E-7	6.3555425E+5	2.9963133E+2
2.7814000E+3	2.9999400E-1	4.6804000E-7	6.4017604E+5	2.9963399E+2
2.5585000E+3	2.9999400E-1	4.6448800E-7	6.4507753E+5	2.9963676E+2
2.3372000E+3	2.9999600E-1	4.6092700E-7	6.5007161E+5	2.9963955E+2
2.1103000E+3	2.9999400E-1	4.5705500E-7	6.5558102E+5	2.9964258E+2
1.8859600E+3	2.9999500E-1	4.5305400E-7	6.6137968E+5	2.9964571E+2
1.6581700E+3	2.9999300E-1	4.4919600E-7	6.6706233E+5	2.9964872E+2
1.4303900E+3	2.9999500E-1	4.4566600E-7	6.7235663E+5	2.9965148E+2
1.2013900E+3	2.9999500E-1	4.4212400E-7	6.7774936E+5	2.9965425E+2
9.7008000E+2	2.9999400E-1	4.3865200E-7	6.8311777E+5	2.9965697E+2
7.8360000E+2	2.9999400E-1	4.3562700E-7	6.8786678E+5	2.9965933E+2
5.9922000E+2	2.9999600E-1	4.3283500E-7	6.9231352E+5	2.9966152E+2
4.1318000E+2	2.9999300E-1	4.2994800E-7	6.9696052E+5	2.9966377E+2
2.2606000E+2	2.9999500E-1	4.2692100E-7	7.0191241E+5	2.9966614E+2
1.7564300E+2	2.9999500E-1	4.2618800E-7	7.0312097E+5	2.9966672E+2
1.2903600E+2	2.9999400E-1	4.2548800E-7	7.0427666E+5	2.9966726E+2
8.3338000E+1	2.9999400E-1	4.2479300E-7	7.0543020E+5	2.9966781E+2
3.7634000E+1	2.9999700E-1	4.2395800E-7	7.0682819E+5	2.9966846E+2
2.6455000E+1	2.9999700E-1	4.2395700E-7	7.0682986E+5	2.9966846E+2
1.6788800E+1	2.9999600E-1	4.2390000E-7	7.0692265E+5	2.9966851E+2
7.3414000E+0	2.9999600E-1	4.2396600E-7	7.0681248E+5	2.9966845E+2
3.2549000E+0	2.9999600E-1	4.2405400E-7	7.0666564E+5	2.9966839E+2
-5.4803000E-1	2.9999600E-1	4.2399600E-7	7.0676241E+5	2.9966843E+2
-4.3683000E+0	2.9999800E-1	4.2383100E-7	7.0704258E+5	2.9966856E+2
-8.1760000E+0	2.9999600E-1	4.2397100E-7	7.0680413E+5	2.9966845E+2
-1.1973300E+1	2.9999500E-1	4.2382100E-7	7.0705220E+5	2.9966857E+2
