Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3922000E+3	-1.5005600E-1	-5.1756200E-6	2.8362855E+4	-1.4674058E+2
4.2389000E+3	-1.5006100E-1	-5.1747700E-6	2.8368584E+4	-1.4674122E+2
4.0799000E+3	-1.5006000E-1	-5.1739500E-6	2.8372986E+4	-1.4674171E+2
3.9188000E+3	-1.5006200E-1	-5.1732700E-6	2.8377185E+4	-1.4674219E+2
3.7554000E+3	-1.5006300E-1	-5.1722100E-6	2.8383323E+4	-1.4674288E+2
3.5907000E+3	-1.5006200E-1	-5.1705000E-6	2.8392725E+4	-1.4674393E+2
3.4227000E+3	-1.5006400E-1	-5.1698300E-6	2.8396873E+4	-1.4674440E+2
3.2556000E+3	-1.5006500E-1	-5.1683500E-6	2.8405379E+4	-1.4674535E+2
3.0855000E+3	-1.5006300E-1	-5.1664500E-6	2.8415670E+4	-1.4674650E+2
2.9142000E+3	-1.5006400E-1	-5.1637000E-6	2.8431332E+4	-1.4674826E+2
2.7424000E+3	-1.5006200E-1	-5.1605800E-6	2.8448514E+4	-1.4675018E+2
2.5670000E+3	-1.5006200E-1	-5.1581100E-6	2.8462439E+4	-1.4675173E+2
2.3943000E+3	-1.5006000E-1	-5.1533900E-6	2.8488697E+4	-1.4675466E+2
2.2165000E+3	-1.5006400E-1	-5.1495200E-6	2.8511357E+4	-1.4675719E+2
2.0396000E+3	-1.5006300E-1	-5.1428800E-6	2.8548787E+4	-1.4676135E+2
1.8626900E+3	-1.5006200E-1	-5.1327700E-6	2.8606066E+4	-1.4676769E+2
1.6823800E+3	-1.5005700E-1	-5.1192100E-6	2.8682531E+4	-1.4677612E+2
1.5035800E+3	-1.5005900E-1	-5.0924900E-6	2.8836725E+4	-1.4679299E+2
1.3209900E+3	-1.5006000E-1	-5.0407800E-6	2.9139202E+4	-1.4682558E+2
1.1405900E+3	-1.5006200E-1	-4.9603700E-6	2.9622179E+4	-1.4687626E+2
9.5793000E+2	-1.5006300E-1	-4.8644900E-6	3.0218660E+4	-1.4693666E+2
7.7381000E+2	-1.5006400E-1	-4.7557200E-6	3.0924423E+4	-1.4700517E+2
5.9176000E+2	-1.5006400E-1	-4.6303500E-6	3.1778781E+4	-1.4708412E+2
4.0791000E+2	-1.5006400E-1	-4.4823300E-6	3.2849016E+4	-1.4717734E+2
2.2258000E+2	-1.5006400E-1	-4.3043800E-6	3.4233093E+4	-1.4728940E+2
1.3093100E+2	-1.5006300E-1	-4.1942400E-6	3.5148353E+4	-1.4735874E+2
8.4914000E+1	-1.5006400E-1	-4.1368400E-6	3.5645031E+4	-1.4739490E+2
3.9935000E+1	-1.5006300E-1	-4.0797000E-6	3.6152852E+4	-1.4743087E+2
2.9774000E+1	-1.5006100E-1	-4.0675400E-6	3.6262323E+4	-1.4743849E+2
2.0459000E+1	-1.5006100E-1	-4.0577900E-6	3.6350967E+4	-1.4744463E+2
1.1122200E+1	-1.5006200E-1	-4.0479200E-6	3.6441385E+4	-1.4745086E+2
7.2816000E+0	-1.5006200E-1	-4.0448500E-6	3.6469522E+4	-1.4745280E+2
3.5832000E+0	-1.5006100E-1	-4.0422500E-6	3.6493137E+4	-1.4745442E+2
-1.7281000E-1	-1.5006500E-1	-4.0446300E-6	3.6472281E+4	-1.4745299E+2
-3.9315000E+0	-1.5006800E-1	-4.0441200E-6	3.6477702E+4	-1.4745336E+2
-7.6745000E+0	-1.5006400E-1	-4.0462800E-6	3.6456905E+4	-1.4745193E+2
