Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
4.3917000E+3	4.5001200E-1	1.9471900E-5	2.2480842E+4	4.3773303E+2
4.2387000E+3	4.5001200E-1	1.9469300E-5	2.2483928E+4	4.3773467E+2
4.0797000E+3	4.5001500E-1	1.9463200E-5	2.2491326E+4	4.3773859E+2
3.9184000E+3	4.5001600E-1	1.9463600E-5	2.2490903E+4	4.3773837E+2
3.7551000E+3	4.5001800E-1	1.9461100E-5	2.2493976E+4	4.3774000E+2
3.5904000E+3	4.5001500E-1	1.9453600E-5	2.2502736E+4	4.3774464E+2
3.4224000E+3	4.5001900E-1	1.9448700E-5	2.2508770E+4	4.3774784E+2
3.2553000E+3	4.5001700E-1	1.9441200E-5	2.2517594E+4	4.3775251E+2
3.0854000E+3	4.5001100E-1	1.9433700E-5	2.2526218E+4	4.3775707E+2
2.9141000E+3	4.5001100E-1	1.9425200E-5	2.2536351E+4	4.3776242E+2
2.7422000E+3	4.5001100E-1	1.9411400E-5	2.2552820E+4	4.3777112E+2
2.5670000E+3	4.5001100E-1	1.9399100E-5	2.2567519E+4	4.3777887E+2
2.3942000E+3	4.5000900E-1	1.9389900E-5	2.2578423E+4	4.3778461E+2
2.2162000E+3	4.5000900E-1	1.9370800E-5	2.2601307E+4	4.3779664E+2
2.0395000E+3	4.5000900E-1	1.9341500E-5	2.2636499E+4	4.3781510E+2
1.8624200E+3	4.5000700E-1	1.9309700E-5	2.2674712E+4	4.3783508E+2
1.6820800E+3	4.5000700E-1	1.9231800E-5	2.2769110E+4	4.3788415E+2
1.5034600E+3	4.5000800E-1	1.9098400E-5	2.2932602E+4	4.3796822E+2
1.3207500E+3	4.5000600E-1	1.8881000E-5	2.3203801E+4	4.3810513E+2
1.1403400E+3	4.5000800E-1	1.8634200E-5	2.3519574E+4	4.3826066E+2
9.5786000E+2	4.5000800E-1	1.8353000E-5	2.3889588E+4	4.3843782E+2
7.7358000E+2	4.5000800E-1	1.8036200E-5	2.4320267E+4	4.3863740E+2
5.9150000E+2	4.5001000E-1	1.7674300E-5	2.4831263E+4	4.3886544E+2
4.0785000E+2	4.5001000E-1	1.7265800E-5	2.5433663E+4	4.3912279E+2
2.2247000E+2	4.5000900E-1	1.6769700E-5	2.6204648E+4	4.3943530E+2
1.3074900E+2	4.5000800E-1	1.6476200E-5	2.6682608E+4	4.3962018E+2
8.4591000E+1	4.5000600E-1	1.6318400E-5	2.6946601E+4	4.3971955E+2
3.9826000E+1	4.5000400E-1	1.6158700E-5	2.7219023E+4	4.3982011E+2
2.9654000E+1	4.5000700E-1	1.6124100E-5	2.7278969E+4	4.3984198E+2
2.0344000E+1	4.5000700E-1	1.6103400E-5	2.7314844E+4	4.3985502E+2
1.1056100E+1	4.5000700E-1	1.6079100E-5	2.7357076E+4	4.3987032E+2
7.1964000E+0	4.5001000E-1	1.6071700E-5	2.7370149E+4	4.3987505E+2
3.4817000E+0	4.5000800E-1	1.6056400E-5	2.7396706E+4	4.3988465E+2
-3.2431000E-1	4.5001200E-1	1.6070700E-5	2.7372016E+4	4.3987573E+2
-4.0415000E+0	4.5001300E-1	1.6074700E-5	2.7365110E+4	4.3987323E+2
-7.7988000E+0	4.5001000E-1	1.6064500E-5	2.7382699E+4	4.3987959E+2
